giornata,data,ora,squadra_casa,squadra_ospite,stadio
1,2026-08-22,18:30,Inter,Monza,"Giuseppe Meazza"
1,2026-08-22,18:30,Udinese,Como,"Friuli/Bluenergy stadium"
1,2026-08-22,20:45,Genoa,Napoli,"Luigi Ferraris"
1,2026-08-22,20:45,Parma,Cagliari,"Ennio Tardini"
1,2026-08-23,18:30,Frosinone,Juventus,"Benito Stirpe"
1,2026-08-23,18:30,Venezia,Lecce,"Pier Luigi Penzo"
1,2026-08-23,20:45,Atalanta,Sassuolo,"New Balance Arena"
1,2026-08-23,20:45,Torino,Milan,"Olimpico - Grande Torino"
1,2026-08-24,18:30,Bologna,Lazio,"Renato Dall'Ara"
1,2026-08-24,20:45,Roma,Fiorentina,"Olimpico"
2,2026-08-28,20:45,Milan,Venezia,"Giuseppe Meazza"
2,2026-08-29,18:30,Fiorentina,Frosinone,"Artemio Franchi"
2,2026-08-29,18:30,Monza,Udinese,"Brianteo"
2,2026-08-29,18:30,Sassuolo,Torino,"Mapei Stadium"
2,2026-08-29,20:45,Juventus,Parma,"Allianz Stadium"
2,2026-08-30,18:30,Napoli,Como,"Diego Armando Maradona"
2,2026-08-30,20:45,Cagliari,Inter,"Unipol Domus"
2,2026-08-30,20:45,Lazio,Genoa,"Olimpico"
2,2026-08-31,18:30,Lecce,Roma,"Ettore Giardiniero - Via Del Mare"
